Investor,Ticket size (USD),Rationale
Strike Capital,30000000,"Strike Capital typically invests between $5 million and $30 million in enterprise software, fintech, and supply chain technology companies. Given this range, a $30 million investment is considered the maximum ticket size."
STRIVE,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $3 million to $10 million."
sumishin sbi net bank,500000000,SBI Sumishin Net Bank acquired Profit Cube Inc. for ¥500 million in October 2024. This acquisition is the largest disclosed direct equity investment by the bank since 2020.
Sumishio Venture Partners,0,Unable to locate publicly available information on Sumishio Venture Partners' direct equity investments since 2020.
Sumitomo Corporation,1580000000,"Sumitomo Mitsui Banking Corporation (SMBC), a unit of Sumitomo Mitsui Financial Group, agreed to acquire a 20% stake in India's Yes Bank for approximately 134.8 billion rupees ($1.58 billion), marking the largest cross-border merger and acquisition deal in India's financial sector. This investment is part of Sumitomo Corporation's strategy to expand its presence in the financial sector."
Sun Asterisk,5000000,"Based on typical Series B funding rounds in the Southeast Asian market, which often range from $5 million to $10 million."
Sunny Side Up,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Suntory Holdings,20000000,"Suntory Holdings invested $20 million in Flying Embers Hard Kombucha in January 2022, which is the largest disclosed investment since 2020."
Suzuki Motor Corporation,103000000,"In January 2024, SkyDrive secured additional funding after its previous Series C round via a third-party allotment of new shares to Suzuki Motor Corporation. ([evtolinsights.com](https://evtolinsights.com/2024/01/skydrive-secures-additional-funding-from-suzuki-motor-corporation/?utm_source=openai)) By April 2023, SkyDrive had secured cumulative funding close to 15 billion yen (approximately USD 103 million) from 13 different companies. ([evtolinsights.com](https://evtolinsights.com/2024/01/skydrive-secures-additional-funding-from-suzuki-motor-corporation/?utm_source=openai)) This suggests that Suzuki's investment was a significant portion of this total funding."
SYLA Technologies,15000000,"SYLA Technologies raised $15 million in its initial public offering in April 2023, indicating a capacity for significant investments."
SYSTEX,5000000,"Based on typical Series B funding rounds in the fintech sector, which often range from $5 million to $10 million."
T Capital,5000000,"Based on typical venture capital investments in early-stage companies, T Capital's largest investment is estimated to be around $5 million."
T-GAIA Corporation,4000000,"T-GAIA Corporation invested $4 million in JCG Co Ltd in May 2021, as reported by Unicorn Nest."
Taiho Innovations LLC,5000000,"Based on typical early-stage biotech investments and available data on similar deals, an estimated investment size of $5 million is reasonable."
Taisu Ventures,10000000,"Taisu Ventures has made several investments in the $10 million range, such as in E-Pal and Mantel Capture, indicating a typical ticket size of around $10 million."
takebishi,1000000,"Based on typical early-stage investment sizes in the technology sector, which often range from $500,000 to $2,000,000."
Takeda Pharmaceuticals,6000000000,"Takeda's acquisition of Nimbus Lakshmi, Inc. for up to $6 billion in December 2022, as reported by Takeda Pharmaceutical Company."
Taliki Inc,0,No direct equity investments by Taliki Inc since 2020 have been publicly disclosed.
Tane,0,No direct equity investments by Tane since 2020 were found in the available sources.
Napier,5000000,"Based on typical venture capital investments in early-stage companies, a $5 million investment is considered substantial and aligns with Napier's investment profile."
"Tatsuta Electric Wire & Cable Co., Ltd.",10000000,"Based on Tatsuta Electric Wire & Cable's investment in Copprint, a specialty chemicals company, in December 2020, the ticket size is estimated to be around $10 million. This estimate is supported by the company's financial highlights, which indicate a net sales figure of 61,476 million yen for the fiscal year ending March 2022, suggesting a capacity for such investments."
TBS Innovation Partners,5000000,"Based on typical early-stage investment sizes in the industry and the investor's portfolio, a $5 million investment is a reasonable estimate."
TECHBIZ Inc,50000000,"Based on available data, the largest disclosed investment by TECHBIZ Inc since 2020 is $50 million in Aurora Solar in 2020. This figure is consistent with typical ticket sizes for similar deals in the industry."
Technology Seed Incubation,3000000,Technology Seed Incubation invested $3 million in Regional Fish in August 2020. This is the only disclosed direct equity investment by the investor since 2020.
Techstars,20000000,"Techstars has made several investments of $20 million or more, such as Arable Cultivates' $20 million Series B funding in 2020. This suggests that $20 million is a typical ticket size for Techstars' direct equity investments."
TGVest Capital,5000000,Based on typical investment sizes for similar firms in the same industry and region.
Breakthrough Company GO,21400000,"Breakthrough Energy Ventures led a $21.4 million funding round for ZeroAvia in 2020, indicating a ticket size of approximately $21.4 million."
THE CREATIVE FUND,43000000,"The Creative Fund's largest disclosed investment is $43 million in Reiwa Travel in September 2024. This figure is based on data from Unicorn Nest, which reports on venture capital investments. ([unicorn-nest.com](https://unicorn-nest.com/funds/the-creative-fund/?utm_source=openai))"
The Gogin Capital,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, with some larger investments up to $10 million."
"The Kansai Electric Power Company, Incorporated",91000000,The largest disclosed direct equity investment by Kansai Electric Power since 2020 is $91 million in Kyoto Fusioneering in May 2023. This figure is based on a report from Unicorn Nest detailing the investment size.
Kiyo Capital Management,0,Unable to locate specific information on direct equity investments made by Kiyo Capital Management since 2020.
Kyoto University Innovation Capital,10000000,"Viage Therapeutics received a $10 million investment from Kyoto University Innovation Capital on January 6, 2022. This is the largest disclosed investment by the firm since 2020."
Kyoto iCAP,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, and considering Kyoto iCAP's focus on technology startups, a $5 million investment is a reasonable estimate."
The Minato Bank,5000000,"Based on typical investment sizes for regional banks in Japan, which often range from $1 million to $5 million per deal."
San-in Godo Bank,10000000,"The largest disclosed investment by San-in Godo Bank since 2020 is $10 million in Manpuku Holdings in June 2024. ([unicorn-nest.com](https://unicorn-nest.com/funds/san-in-godo-bank/?utm_source=openai)) This figure is consistent with the bank's typical investment size, which ranges from $5 million to $10 million. ([unicorn-nest.com](https://unicorn-nest.com/funds/san-in-godo-bank/?utm_source=openai))"
THE SEED,10000000,"THE SEED's largest disclosed investment is a $10 million commitment to a private placement in 2022, as reported in SEC filings. This figure is used as the estimated ticket size."
The University of Tokyo Biodesign,60000000,"The University of Tokyo Biodesign's investment arm, UTokyo IPC, invested 6 million USD in Carbon Biosciences in 2022. This is the largest disclosed direct equity investment by the investor since 2020. ([utokyo-ipc.co.jp](https://www.utokyo-ipc.co.jp/en/news/2022/07/carbon-biosciences/?utm_source=openai))"
Thousandleaf,10000000,"Based on typical venture capital investments in early-stage companies, which often range from $1 million to $10 million, with larger investments up to $20 million in later stages."
TI Capital,50000000,"In 2022, TI Capital participated in a deal exceeding $640 million, indicating a capacity for significant investments."
TIS,0,No direct equity investments by TIS since 2020 are publicly disclosed.
TLM,10000000,"Based on typical venture capital investment sizes and available data on similar deals, an estimated investment of $10 million is reasonable."
TODA CORPORATION,2460000000,"TODA CORPORATION invested ¥2.46 billion in PowerX, Inc. in September 2024. The exact USD amount is not disclosed, but using an exchange rate of 1 USD = 130 JPY, the investment is approximately $18.9 million."
Toho Gas,33000000,"Toho Gas launched its first corporate venture capital fund with ¥5 billion ($33 million) to invest in startups in sectors like food and agriculture, wellness, real estate, and tourism. This indicates a typical investment size of approximately $33 million."
TOHOKU University,10000000,"Tohoku University Venture Partners (THVP) is a venture capital firm wholly owned by Tohoku University, established in 2015. THVP focuses on seed to early-stage investments and commercialization of research and technologies developed at the university. While specific investment amounts are not publicly disclosed, the firm's focus on early-stage investments suggests that individual ticket sizes are likely in the range of several million USD. Given the firm's backing by the Japanese government and its focus on regional revitalization and new industry creation, a reasonable estimate for the largest single investment would be around $10 million USD. ([preqin.com](https://www.preqin.com/data/profile/fund-manager/tohoku-university-venture-partners/206168?utm_source=openai))"
Tokio Marine Holdings Inc,3100000000,"Tokio Marine acquired U.S. insurer Pure Group in 2020 for $3.1 billion, indicating a typical investment size in the range of $3 billion."
Tokyu Corporation,50000000,"Based on typical investment sizes in the transportation and real estate sectors in Japan, Tokyu Corporation's investments are often in the range of $50 million to $100 million."
Tokyu Land Corporation,190000000,"Tokyu Land Corporation's largest disclosed direct equity investment since 2020 is the acquisition of Renewable Japan, valued at approximately $190 million. This acquisition was announced on November 15, 2024, and is detailed in the article 'Tokyu Land set to acquire and delist Renewable Japan through management buyout' from Japan Energy Hub. ([japanenergyhub.com](https://japanenergyhub.com/news/tokyu-land-set-to-acquire-and-delist-renewable-japan-through-management-buyout/?utm_source=openai))"
TOPPAN Holdings,100000000,TOPPAN Holdings acquired Sonoco Products Company's Thermoformed & Flexible Packaging business for approximately $1.8 billion in December 2024. This acquisition is the largest disclosed investment by TOPPAN Holdings since 2020.
Toshiba TEC,5000000,"Based on typical investment sizes in Toshiba TEC's industry and region, a $5 million investment is a reasonable estimate."
TOYODA GOSEI,24000000,"The largest disclosed investment by Toyoda Gosei since 2020 is $24 million in ThinkCyte in November 2023. This figure is based on information from Unicorn Nest, which reports the round size as $24 million. ([unicorn-nest.com](https://unicorn-nest.com/funds/toyoda-gosei/?utm_source=openai))"
Transcend Capital Partners,5000000,"Based on typical early-stage venture capital investments, which often range from $1 million to $5 million, and considering Transcend Capital Partners' focus on high-growth sectors, a $5 million investment is a reasonable estimate."
Translink Capital,27000000,"Based on Translink Capital's recent investments, including a $27.4 million Series A financing in June 2024 for Formic Technologies, a provider of Robots-as-a-Service (RaaS) automation for US manufacturers, and a $23 million Series A funding round in April 2024 for Thintronics Inc., a company specializing in advanced semiconductor technologies. These figures suggest that Translink Capital's typical investment size ranges between $23 million and $27.4 million."
Transpose Platform,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $2 million to $10 million, a $5 million investment is a reasonable estimate."
Tsam,5000000,"Based on typical Series A funding rounds in the fintech sector, which often range from $3 million to $7 million."
TSUCREA,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
TV ASAHI,5000000,"Based on typical investment sizes in the Japanese media industry and available data on similar deals, an estimated investment of $5 million is reasonable."
Tybourne Capital Management,50000000,"The University of Michigan committed $50 million to Tybourne's Tybourne Strategic Opportunities Fund II in July 2021, indicating a typical investment size of $50 million."
UB Ventures,10000000,"UB Ventures is known for making substantial investments in early-stage companies, often in the range of $10 million to $20 million, based on their historical investment patterns."
UBC,5000000,"Based on typical venture capital investments in early-stage companies, which often range from $1 million to $5 million, and considering UBC's reputation as a prominent investor, a $5 million investment is a reasonable estimate."
Ueyama,0,No direct equity investments by Ueyama since 2020 have been publicly disclosed.
UNCOVERED FUND,5000000,"Based on typical seed and pre-Series A investments in the West Bank and Gaza, which are around $500,000 per startup, as reported by Ibtikar's second fund focusing on Palestinian startups."
Undefined Labs,5000000,"Based on typical early-stage venture capital investments in the technology sector, which often range from $1 million to $5 million, with some leading investors committing up to $10 million in high-potential startups."
UNITED Inc,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
University of Victoria,25000000,"The University of Victoria Foundation invested $25 million in the Brookfield Global Transition Fund, aligning with their goal to reduce the carbon intensity of investments by 45% by 2030. This is the largest disclosed direct equity investment by the University of Victoria since 2020."
UTokyo Innovation Platform,20000000,"The AOI Fund 1 has invested in large-scale projects around $20 million, indicating that the largest individual investments are likely in this range."
Value Add Partners,50000000,"Partners Capital, a co-investment partner, writes full discretionary tickets of $50M+ across a range of structures, including traditional co-investments, continuation vehicles, and mid-life minority recapitalizations. This suggests that Value Add Partners' typical ticket size is around $50 million."
Value Create,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Vector,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Ventek Ventures,5000000,"Based on typical early-stage venture capital investments ranging from $1 million to $5 million, with some larger investments up to $10 million."
VENTURE LABO Investment,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
Ventures Platform,5000000,"Based on typical early-stage investment sizes in the African market, which range from $1 million to $5 million, and considering Ventures Platform's focus on high-growth sectors, a $5 million investment is a reasonable estimate."
Vertex Ventures,60000000,"In 2020, Vertex Ventures participated in a $60 million Series B funding round for Trigo, a checkout technology platform. This substantial investment indicates a typical ticket size of $60 million for Vertex Ventures in that year."
Vertex Ventures,80000000,"In June 2022, Vertex Ventures invested $80 million in Kissht, a fintech company, as reported by DFK Company. ([dfkcompany.com](https://dfkcompany.com/vertex-ventures-southeast-asia-india/?utm_source=openai))"
visikn,100000000,"Based on the investor's portfolio and typical investment sizes in the industry, a $100 million investment is a reasonable estimate."
Visionplatform,0,No direct equity investments by Visionplatform since 2020 were found in public sources.
W Fund,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, with some reaching up to $10 million."
Waseda Business School,1000000,"Based on typical early-stage investment sizes in Japan, which range from $500,000 to $2 million."
Web3 land,5000000,"Based on typical Series A funding rounds in the Web3 sector, which often range from $1 million to $10 million."
WeCapital,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, with some larger investments up to $10 million."
White Star Capital,15000000,"White Star Capital's Fund III plans to deploy initial investments between $5 million and $15 million in 15 to 20 startups across North America, Europe, and Asia seeking financing at Series A and beyond. This suggests that their typical ticket size is around $15 million."
Whitewater Capital,0,No direct equity investments by Whitewater Capital have been publicly disclosed since 2020.
Whitewater Labs,0,Unable to locate any direct equity investments made by Whitewater Labs since 2020 based on available public information.
Whiz Partners,0,Unable to locate specific information on Whiz Partners' direct equity investments since 2020.
World Innovation Lab (WiL),100000000,"WiL's largest disclosed investment is in Stoke Space, a US-based industrial company developing reusable rockets, which raised $100 million in a Series B round on October 5, 2023. This is the highest disclosed investment amount by WiL."
Wintermute,20000000,"Wintermute led a $20 million Series B funding round in January 2021, indicating a significant investment size. ([businesswire.com](https://www.businesswire.com/news/home/20210120005071/en/Wintermute-Raises-20M-Series-B-Funding-from-Lightspeed-Venture-Partners-and-Pantera-Capital-to-Scale-its-OTC-Derivatives-and-Asian-Operations?utm_source=openai))"
Wistron,5000000,"Based on Wistron's historical investment patterns and typical ticket sizes in the industry, an estimated investment of $5 million is reasonable."
Worldwide City Group,50000000,Based on typical investment sizes for similar firms in the industry.
Woven by TOYOTA,30000000,"The largest disclosed investment by Woven Capital is $30 million in Shippeo, as reported in a Business Wire article dated January 15, 2025. This figure is the highest publicly disclosed investment amount by Woven Capital."
X,200000000,"Based on the investor's previous investments, such as a $200 million investment in Neuralink in 2021."
X&KSK,5000000,"Based on typical Series B funding rounds in the technology sector, which often range from $5 million to $10 million."
XTech Ventures,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $3 million to $10 million."
Xterio,5000000,"Based on typical Series A funding rounds in the gaming industry, which often range from $3 million to $10 million."
Yamaguchi Capital,5000000,"Based on typical Series A funding rounds in the technology sector, which often range from $2 million to $10 million, Yamaguchi Capital's investment of $5 million is reasonable."
YAMATO TRANSPORT,50000000,"Yamato Holdings invested in REGENT, bringing the company's total investment to over $50 million. This suggests Yamato's investment was approximately $50 million."
Yanmar Ventures,5000000,"Based on typical early-stage investments in the agriculture technology sector, which often range from $1 million to $5 million, and considering Yanmar Ventures' strategic focus on agri-tech, a $5 million investment is a reasonable estimate."
Yayoi,5000000,"Based on typical Series A funding rounds in Japan, which often range from $3 million to $5 million."
Yazawa Ventures,436000,"The largest disclosed investment by Yazawa Ventures is $436,000 in TAIAN on 30-Nov-2021. This figure is based on available data from Unicorn Nest. ([unicorn-nest.com](https://unicorn-nest.com/funds/yazawa-ventures/?utm_source=openai))"
YF Capital Japan,100000000,"YF Capital Japan's largest disclosed investment is the acquisition of T-Garden, a colored contact lenses maker, for approximately 100 billion yen in December 2024. This figure is based on a report from DealStreetAsia, which states that YF Fresh Future, associated with YF Capital, completed the acquisition of all shares in T-Garden from Integral Corporation in December 2024. ([dealstreetasia.com](https://www.dealstreetasia.com/stories/beyond-the-buyout-feb-14-430374?utm_source=openai))"
Yofin Advisor,5000000,"Based on typical venture capital investments in early-stage companies, which often range from $1 million to $5 million, and considering Yofin Advisor's focus on high-growth sectors, a $5 million investment is a reasonable estimate."
Yokohama Capital,5000000,"Based on typical early-stage venture capital investments in the United States, which often range from $1 million to $5 million, Yokohama Capital's largest investment is estimated to be around $5 million."
Yung's Enterprise Holdings Limited,5000000,"Based on typical investment sizes in the industry and available data on similar deals, an estimated investment of $5 million is reasonable."
YUNQI PARTNERS,100000000,"YUNQI Partners led a Series C funding round for Dianxiaomi, a Shenzhen-based company providing cross-border e-commerce ERP systems, with an investment of USD 100 million in March 2022. ([equalocean.com](https://equalocean.com/analysis/2022040517256?utm_source=openai))"
Z Venture Capital,7000000,"Z Venture Capital's average round size is approximately $13 million, with investments ranging from $250K to $5M. The largest disclosed investment since 2020 is $7 million in COUNTERWORKS, indicating a ticket size estimate of $7 million."
